NodesNumber;Density;Time
400;0.75;36135
400;0.75;34790
400;0.75;35170
400;0.75;34827
400;0.75;34815
400;0.75;34699
400;0.75;34584
400;0.75;34761
400;0.75;35130
400;0.75;34979
400;0.75;35054
400;0.75;34850
400;0.75;35563
400;0.75;34850
400;0.75;34809
400;0.75;35226
400;0.75;35447
400;0.75;34848
400;0.75;35360
400;0.75;35202
400;0.75;35330
400;0.75;34807
400;0.75;35483
400;0.75;34667
400;0.75;34573
400;0.75;35244
400;0.75;35299
400;0.75;34637
400;0.75;35170
400;0.75;34882
400;0.75;34597
400;0.75;34691
400;0.75;35118
400;0.75;34777
400;0.75;35162
400;0.75;35114
400;0.75;35174
400;0.75;34597
400;0.75;34936
400;0.75;35108
400;0.75;34798
400;0.99;45491
400;0.99;46115
400;0.99;46223
400;0.99;46728
400;0.99;45587
400;0.99;46498
400;0.99;45449
400;0.99;46810
400;0.99;46766
400;0.99;46430
400;0.99;46616
400;0.99;46427
400;0.99;45294
400;0.99;46568
400;0.99;45696
400;0.99;45835
400;0.99;46110
400;0.99;46366
400;0.99;46239
400;0.99;46307
400;0.99;46774
400;0.99;45780
400;0.99;46502
400;0.99;46400
400;0.99;46011
400;0.99;46591
400;0.99;46320
400;0.99;46432
400;0.99;45973
400;0.99;47187
400;0.99;46521
400;0.99;46805
400;0.99;46733
400;0.99;46362
400;0.99;46134
400;0.99;46898
400;0.99;45827
400;0.99;46599
400;0.99;46520
400;0.99;45951
400;0.99;46137
400;0.99;46470
400;0.99;45851
400;0.99;45457
400;0.99;44965
400;0.99;45834
400;0.99;45523
400;0.99;45957
400;0.99;45443
400;0.99;46906
600;0.25;31707
600;0.25;31199
600;0.25;31140
600;0.25;31552
600;0.25;31404
600;0.25;32186
600;0.25;31489
600;0.25;32297
600;0.25;31883
600;0.25;31873
600;0.25;32086
600;0.25;31644
600;0.25;32236
600;0.25;32248
600;0.25;32013
600;0.25;31741
600;0.25;31978
600;0.25;31566
600;0.25;32012
600;0.25;32121
600;0.25;31904
600;0.25;32377
600;0.25;31677
600;0.25;32126
600;0.25;32363
600;0.25;31266
600;0.25;31627
600;0.25;32166
600;0.25;32258
600;0.25;31953
600;0.25;32213
600;0.25;31821
600;0.25;31867
600;0.25;31880
600;0.25;31936
600;0.25;32463
600;0.25;31823
600;0.25;32177
600;0.25;32124
600;0.25;32322
600;0.25;32237
600;0.25;31699
600;0.25;31674
600;0.25;32102
600;0.25;32489
600;0.25;31917
600;0.25;31623
600;0.25;31840
600;0.25;32262
600;0.25;31717
600;0.5;64975
600;0.5;64635
600;0.5;64431
600;0.5;64509
600;0.5;64102
600;0.5;64358
600;0.5;63850
600;0.5;64393
600;0.5;64942
600;0.5;64489
600;0.5;64041
600;0.5;64901
600;0.5;64466
600;0.5;64605
600;0.5;65975
600;0.5;63171
600;0.5;64824
600;0.5;64646
600;0.5;64605
600;0.5;65063
600;0.5;64300
600;0.5;65290
600;0.5;64596
600;0.5;63033
600;0.5;64013
600;0.5;64544
600;0.5;64028
600;0.5;64871
600;0.5;64225
600;0.5;63513
600;0.5;64468
600;0.5;63739
600;0.5;64968
600;0.5;63889
600;0.5;64195
600;0.5;63599
600;0.5;64264
600;0.5;64308
600;0.5;64340
600;0.5;64173
600;0.5;65197
600;0.5;63910
600;0.5;63725
600;0.5;64488
600;0.5;64569
600;0.5;64123
600;0.5;63465
600;0.5;64011
600;0.5;64242
600;0.5;64027
600;0.75;96310
600;0.75;96596
600;0.75;96188
600;0.75;96083
600;0.75;95932
600;0.75;96740
600;0.75;95731
600;0.75;96435
600;0.75;96363
600;0.75;96241
600;0.75;97094
600;0.75;97924
600;0.75;97413
600;0.75;97110
600;0.75;97724
600;0.75;95200
600;0.75;97032
600;0.75;99309
600;0.75;95832
600;0.75;95921
600;0.75;96610
600;0.75;97084
600;0.75;96743
600;0.75;96373
600;0.75;96610
600;0.75;96453
600;0.75;96861
600;0.75;97153
600;0.75;95979
600;0.75;96258
600;0.75;96272
600;0.75;102957
600;0.75;96182
600;0.75;96308
600;0.75;96547
600;0.75;95715
600;0.75;96373
600;0.75;96250
600;0.75;96305
600;0.75;96711
600;0.75;96893
600;0.75;96416
600;0.75;97535
600;0.75;96236
600;0.75;96530
600;0.75;96551
600;0.75;97499
600;0.75;96502
600;0.75;96211
600;0.75;96638
600;0.99;129712
600;0.99;129841
600;0.99;130215
600;0.99;130231
600;0.99;128717
600;0.99;130329
600;0.99;128891
600;0.99;128574
600;0.99;129644
600;0.99;129955
600;0.99;129852
600;0.99;129854
600;0.99;130287
600;0.99;129540
600;0.99;128992
600;0.99;128925
600;0.99;130348
600;0.99;129568
600;0.99;129963
600;0.99;129681
600;0.99;129363
600;0.99;130663
600;0.99;129690
600;0.99;128768
600;0.99;128862
600;0.99;130086
600;0.99;129326
600;0.99;130431
600;0.99;129675
600;0.99;129617
600;0.99;129475
600;0.99;128974
600;0.99;129223
600;0.99;130137
600;0.99;130185
600;0.99;129575
600;0.99;130277
600;0.99;129075
600;0.99;129218
600;0.99;129348
600;0.99;128624
600;0.99;129253
600;0.99;130844
600;0.99;129160
600;0.99;129482
600;0.99;128858
600;0.99;132207
600;0.99;127803
600;0.99;129690
600;0.99;128973
800;0.25;66687
800;0.25;66037
800;0.25;67484
800;0.25;66019
800;0.25;66836
800;0.25;66395
800;0.25;66354
800;0.25;66733
800;0.25;66476
800;0.25;65718
800;0.25;66366
800;0.25;66540
800;0.25;66079
800;0.25;66012
800;0.25;66565
800;0.25;65457
800;0.25;67172
800;0.25;65963
800;0.25;66046
800;0.25;66052
800;0.25;67269
800;0.25;66150
800;0.25;66678
800;0.25;66698
800;0.25;66099
800;0.25;65980
800;0.25;66729
800;0.25;66048
800;0.25;66208
800;0.25;66535
800;0.25;66070
800;0.25;66662
800;0.25;66460
800;0.25;66097
800;0.25;65751
800;0.25;66111
800;0.25;66169
800;0.25;66772
800;0.25;66593
800;0.25;65802
800;0.25;66218
800;0.25;66815
800;0.25;66605
800;0.25;67072
800;0.25;67164
800;0.25;66114
800;0.25;67262
800;0.25;66962
800;0.25;66711
800;0.25;66380
800;0.5;134694
800;0.5;133286
800;0.5;134194
800;0.5;134091
800;0.5;133276
800;0.5;134287
800;0.5;134160
800;0.5;134202
800;0.5;133658
800;0.5;133879
800;0.5;133709
800;0.5;134461
800;0.5;134290
800;0.5;132776
800;0.5;134575
800;0.5;134099
800;0.5;133383
800;0.5;134287
800;0.5;133929
800;0.5;134132
800;0.5;133799
800;0.5;133911
800;0.5;134352
800;0.5;134677
800;0.5;135022
800;0.5;134397
800;0.5;133885
800;0.5;134652
800;0.5;133344
800;0.5;133942
800;0.5;132858
800;0.5;133735
800;0.5;134652
800;0.5;134469
800;0.5;133544
800;0.5;132997
800;0.5;132814
800;0.5;133673
800;0.5;133649
800;0.5;134423
800;0.5;133166
800;0.5;133966
800;0.5;132825
800;0.5;132147
800;0.5;134080
800;0.5;133759
800;0.5;141406
800;0.5;133183
800;0.5;134512
