NodesNumber;Density;Time
400;0.75;391652
400;0.75;388916
400;0.75;392215
400;0.75;387818
400;0.75;385451
400;0.75;384000
400;0.75;389836
400;0.75;393900
400;0.75;390637
400;0.75;388145
400;0.75;385661
400;0.75;388754
400;0.75;389464
400;0.75;392004
400;0.75;392375
400;0.75;393780
400;0.75;388147
400;0.75;389950
400;0.75;386923
400;0.75;384455
400;0.75;391289
400;0.75;390737
400;0.75;382553
400;0.75;383655
400;0.75;391607
400;0.75;392063
400;0.75;390602
400;0.75;391903
400;0.75;389150
400;0.75;392113
400;0.75;388324
400;0.75;383747
400;0.75;382070
400;0.75;392573
400;0.75;390248
400;0.75;390674
400;0.75;383609
400;0.75;391583
400;0.75;394339
400;0.75;390512
400;0.75;392191
400;0.99;536165
400;0.99;540670
400;0.99;534171
400;0.99;537589
400;0.99;526664
400;0.99;536239
400;0.99;539416
400;0.99;537002
400;0.99;533960
400;0.99;536037
400;0.99;536495
400;0.99;534624
400;0.99;532922
400;0.99;534460
400;0.99;528418
400;0.99;539808
400;0.99;539320
400;0.99;532948
400;0.99;539764
400;0.99;546011
400;0.99;540122
400;0.99;529093
400;0.99;539662
400;0.99;531823
400;0.99;532479
400;0.99;536360
400;0.99;530549
400;0.99;534419
400;0.99;541372
400;0.99;541107
400;0.99;538417
400;0.99;533637
400;0.99;540691
400;0.99;541056
400;0.99;530504
400;0.99;540176
400;0.99;539841
400;0.99;538845
400;0.99;535060
400;0.99;538039
400;0.99;539538
400;0.99;541012
400;0.99;550692
400;0.99;532340
400;0.99;528778
400;0.99;541129
400;0.99;534452
400;0.99;532742
400;0.99;533064
400;0.99;538653
600;0.25;556782
600;0.25;558146
600;0.25;558471
600;0.25;556774
600;0.25;562167
600;0.25;558162
600;0.25;558504
600;0.25;555036
600;0.25;553648
600;0.25;557530
600;0.25;555972
600;0.25;552265
600;0.25;557793
600;0.25;563178
600;0.25;554790
600;0.25;563723
600;0.25;557929
600;0.25;555459
600;0.25;559707
600;0.25;556335
600;0.25;559390
600;0.25;559646
600;0.25;558649
600;0.25;557330
600;0.25;558125
600;0.25;557228
600;0.25;559551
600;0.25;558241
600;0.25;554876
600;0.25;555201
600;0.25;556834
600;0.25;554232
600;0.25;556155
600;0.25;555433
600;0.25;554662
600;0.25;559612
600;0.25;558048
600;0.25;555108
600;0.25;553327
600;0.25;561162
600;0.25;556819
600;0.25;552892
600;0.25;558273
600;0.25;557454
600;0.25;560358
600;0.25;556250
600;0.25;554359
600;0.25;558310
600;0.25;560452
600;0.25;554241
600;0.5;947137
600;0.5;954682
600;0.5;943109
600;0.5;936196
600;0.5;940716
600;0.5;937752
600;0.5;944541
600;0.5;934406
600;0.5;952594
600;0.5;940268
600;0.5;962629
600;0.5;934362
600;0.5;931360
600;0.5;932828
600;0.5;931060
600;0.5;950426
600;0.5;946981
600;0.5;931097
600;0.5;932456
600;0.5;949811
600;0.5;936902
600;0.5;941207
600;0.5;939192
600;0.5;933841
600;0.5;947472
600;0.5;944962
600;0.5;931332
600;0.5;938261
600;0.5;951747
600;0.5;944739
600;0.5;934383
600;0.5;947952
600;0.5;940194
600;0.5;941717
600;0.5;935452
600;0.5;932438
600;0.5;961282
600;0.5;951915
600;0.5;947083
600;0.5;955346
600;0.5;944843
600;0.5;945922
600;0.5;934119
600;0.5;934790
600;0.5;929499
600;0.5;930058
600;0.5;955273
600;0.5;939109
600;0.5;941827
600;0.5;934610
600;0.75;1448196
600;0.75;1430644
600;0.75;1427680
600;0.75;1449774
600;0.75;1433161
600;0.75;1436764
600;0.75;1445342
600;0.75;1437185
600;0.75;1436146
600;0.75;1451989
600;0.75;1449923
600;0.75;1439714
600;0.75;1447510
600;0.75;1441605
600;0.75;1440504
600;0.75;1446639
600;0.75;1445638
600;0.75;1449317
600;0.75;1441481
600;0.75;1437577
600;0.75;1453179
600;0.75;1442922
600;0.75;1445750
600;0.75;1456056
600;0.75;1441869
600;0.75;1445527
600;0.75;1449195
600;0.75;1433105
600;0.75;1435436
600;0.75;1453278
600;0.75;1436288
600;0.75;1436131
600;0.75;1451139
600;0.75;1437355
600;0.75;1439585
600;0.75;1466548
600;0.75;1446206
600;0.75;1433378
600;0.75;1458595
600;0.75;1433991
600;0.75;1439830
600;0.75;1450666
600;0.75;1437092
600;0.75;1436102
600;0.75;1454321
600;0.75;1436192
600;0.75;1437170
600;0.75;1441102
600;0.75;1437736
600;0.75;1438411
600;0.99;1892987
600;0.99;1915456
600;0.99;1911656
600;0.99;1897834
600;0.99;1914611
600;0.99;1905485
600;0.99;1936536
600;0.99;1898873
600;0.99;1911226
600;0.99;1902345
600;0.99;1909545
600;0.99;1906117
600;0.99;1902556
600;0.99;1910385
600;0.99;1885695
600;0.99;1916489
600;0.99;1888379
600;0.99;1920928
600;0.99;1903106
600;0.99;1922760
600;0.99;1898477
600;0.99;1916557
600;0.99;1931153
600;0.99;1900045
600;0.99;1897175
600;0.99;1899330
600;0.99;1911246
600;0.99;1900008
600;0.99;1917183
600;0.99;1897087
600;0.99;1924444
600;0.99;1900037
600;0.99;1918431
600;0.99;1904959
600;0.99;1901514
600;0.99;1907610
600;0.99;1888141
600;0.99;1912478
600;0.99;1893802
600;0.99;1909012
600;0.99;1895300
600;0.99;1914775
600;0.99;1893849
600;0.99;1930097
600;0.99;1892783
600;0.99;1907785
600;0.99;1905149
600;0.99;1881199
600;0.99;1905626
600;0.99;1881248
800;0.25;1489319
800;0.25;1465773
800;0.25;1470060
800;0.25;1492578
800;0.25;1467288
800;0.25;1469913
800;0.25;1498514
800;0.25;1467274
800;0.25;1465865
800;0.25;1502432
800;0.25;1468221
800;0.25;1471018
800;0.25;1490308
800;0.25;1474990
800;0.25;1473149
800;0.25;1490844
800;0.25;1469182
800;0.25;1470157
800;0.25;1490450
800;0.25;1468675
800;0.25;1470561
800;0.25;1494348
800;0.25;1473547
800;0.25;1469824
800;0.25;1495323
800;0.25;1474643
800;0.25;1467081
800;0.25;1488798
800;0.25;1472513
800;0.25;1473899
800;0.25;1511724
800;0.25;1472855
800;0.25;1471103
800;0.25;1491373
800;0.25;1475278
800;0.25;1471426
800;0.25;1492870
800;0.25;1471850
800;0.25;1477209
800;0.25;1494242
800;0.25;1477979
800;0.25;1473632
800;0.25;1495547
800;0.25;1474276
800;0.25;1475243
800;0.25;1503127
800;0.25;1480236
800;0.25;1471854
800;0.25;1492928
800;0.25;1472516
800;0.5;2328101
800;0.5;2322918
800;0.5;2326220
800;0.5;2315367
800;0.5;2359332
800;0.5;2298690
800;0.5;2342792
800;0.5;2309971
800;0.5;2347238
800;0.5;2309666
800;0.5;2343475
800;0.5;2311672
800;0.5;2333012
800;0.5;2345959
800;0.5;2334117
800;0.5;2332474
800;0.5;2334894
800;0.5;2350395
800;0.5;2320142
800;0.5;2342530
800;0.5;2328295
800;0.5;2330958
800;0.5;2332626
800;0.5;2339465
800;0.5;2336082
